number_of_text_plain_sections,number_of_text_html_sections,number_of_image_sections,number_of_application_sections,ratio_text_plain_to_any_text_sections,length_of_text_in_text_html_section,index_charset_first_sec,num_unique_charset,num_standart_header,num_in_reply_to,num_received,exist_x_mailer,exist_user_agent,mime_version,case_var_MV,length_message_id,ascii_boundary_char,existence_of_domain,is_id_part_hex,is_id_part_decimal,existence_of_dots_in_id_part,existence_of_special_chars_in_id_part,is_domain_part_hex,is_domain_part_decimal,existence_of_dots_in_domain_part,existence_of_special_chars_in_domain_part,num_From_header_tags_in_thread,num_ofToheader_tags_in_thread,num_ofunique_To_addresses_in_thread,num_ofunique_Reply-To_addresses_in_thread,num_ofuniquedomains_in_all_email_addresses,ratio_unique_To_domains_to_unique_domains_in_all_addresses,num_Cc_addresses,num_Bcc_addresses,num_of_Sender_addresses,IsReturn_Path_identical_to_Reply_To,num_ofTo_domains_identical_to_From_domain,num_ofCc_domains_identical_to_From_domain,num_ofBcc_domains_identical_to_From_domain,IsFrom_domain_same_as_Reply-To_domain,IsFrom_domain_same_as_Return-Path_domain,IsFrom_entity_bracketed,IsTo_entity_bracketed,len_first_boundary,boundary_start_with_=,exist_=_middle_boundary,exist_underscore_boundary,exist_dot_boundary,exist_other_special_char_boundary,boundary_hexadecimal,boundary_decimal,depht_DOM_tree,num_DOM_leaf,num_unique_DOM_leaf,mean_DOM_leaf_depths,standart_dev_DOM_depths,num_email_addresses_in_html_section,num_a_tags,num_URLs_in_html_section,ratio_unique_domains_to_domains_of_allURLs_in_anytags,length_style,exist_direction,exist_JS,label,email_id,index
1,0,0,0,1.0,0,-1,0,5,0,2,0,0,0,0,43,64,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<0000682a174f$0000534d$00005445@210.104.41.3>,0
1,0,0,0,1.0,0,1,1,8,0,12,1,0,1,1,43,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200207241115.g6OBF1S27440@ankara.ada.net.tr>,1
1,1,1,0,0.5,4252,1,2,7,0,2,0,0,1,0,53,64,1,1,1,1,0,0,0,0,1,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,36,1,1,0,0,0,1,1,10,9,6,6.555555555555555,2.7532248207475263,4,2,0,0.0,1763,0,0,1,<170292371427.2752.1447671967954571860@WIN-HM6FI4VOIEP>,2
0,1,0,1,0.0,19397,1,1,7,0,2,0,0,1,0,48,64,1,1,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,47,0,1,1,1,0,0,0,21,44,12,13.409090909090908,5.4619268237591,0,4,10,0.5,11436,0,0,1,<22303876065364116935.8BBC3FB366798658@monkey.org>,3
1,1,0,0,0.5,2996,1,1,5,0,0,0,0,1,0,43,64,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,1,0,0,3,63,4,2.952380952380953,0.2129588549999799,0,2,2,0.5,0,0,0,1,<729476.50867.qm@web86807.mail.ukl.yahoo.com>,4
1,0,0,0,1.0,0,1,1,7,0,0,1,0,1,0,39,64,1,0,0,0,1,0,0,1,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<0MKvEQ-1GPPgu0j5r-0000xX@mx.perfora.net>,5
1,2,0,0,0.3333333333333333,245262,1,1,6,0,3,1,0,1,0,37,64,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,41,0,1,1,1,0,0,0,33,344,34,14.55232558139535,10.83586021895329,0,48,78,0.1794871794871795,165965,0,1,1,<6FC0BBAE3ED0447AA92DCDE11BF364D4@MYi5>,6
1,0,0,0,1.0,0,1,1,8,0,0,0,1,1,0,45,64,1,0,0,1,0,0,0,1,0,1,1,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<20060919114011.ybyiksj5c48ck8gg@www.egypt.com>,7
1,0,0,0,1.0,0,1,1,7,0,0,1,0,1,0,44,64,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200512251600.jBPG0c1S000419@faithful.mail.UM>,8
1,1,0,0,0.5,9871,1,1,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,27,1,1,0,0,0,1,1,12,27,7,10.851851851851851,2.8245445873981656,2,1,1,1.0,0,0,0,1,,9
