index,email_id,text,label,preprocessed_text,text_proba,new_text,new_text_proba
5545,<4548385.1075841699564.JavaMail.evans@thyme>,"Kate I will have to submit a code change to our Enpower guys to reflect the 
$15.00 flat fee change for 1 or 2 days deals.  Currently this can't be coded 
based on the duration of these deals because we currently have a code for 
daily deals(meaning 1 day only) and a code for short term deals ( meaning 
anything 1 day or more but less than 1 month) and a code for long term deals 
(meaning anything more than 1 month).   If the fee was per mw, I could simply 
go and edit the broker table fee but since this is a flat fee, the codes have 
to be adjusted to reflect such.

I have submitted a request and I am waiting on a response.  I will keep you 
updated.


Evelyn",0,"Kate I will have to submit a code change to our Enpower guys to reflect the $. flat fee change for or days deals. Currently this can't be coded based on the duration of these deals because we currently have a code for daily deals(meaning day only) and a code for short term deals ( meaning anything day or more but less than month) and a code for long term deals (meaning anything more than month). If the fee was per mw, I could simply go and edit the broker table fee but since this is a flat fee, the codes have to be adjusted to reflect such. I have submitted a request and I am waiting on a response. I will keep you updated. Evelyn",0.001016215,"kate,

I will have too submit a code chnage to our Empower guys too reflect the
$15.00 flat feee change for 1 or 2 day’s deals. Currently this cant be codded
based on the durattion of thse deals becuase we curently have a code for
daily deal’s (meaning 1 day only) and a code for short term deals (meaning
anything 1 day or more but less then 1 month) and a code for long term dealz
(meaning anything more then 1 month). If the fee was per mw, I could of simply
go and edit the brooker table feee but since this is a flat fe, the codes have
to be ajusted to reflect that.

i’ve submited a request and am still waiting on respond. i’ll keep you
update.

Evelin",0.00068867695517838
1906,<24337495.1075845104838.JavaMail.evans@thyme>,"
Once again, Enron employees showed their generosity.  

Thanks to everyone who participated in the March of Dimes Raffle, we raised over $1,750.  

The Big Winners in the raffle were:

	Mary Anne Miller - Airline tickets
	Cindy Stark - Compaq PA Personal Audio Player
	Mary Vollmer - Urban Retreat Gift Certificate
	Ben Nguyen - Four Astros Tickets
	John Chang - Four Astros Tickets
	Betty Keenan - Barrington Roller Pen
	Bob McAuliffe - Cutter & Buck Polo Shirt
	Kimberly Nelson - Zippered Portfolio
	Karon O'Gorman - Desk Clock
	Tammy Kovalcik - Laptop Carrying Case
	Lisa Gilchrist - Laptop Carrying Case
	Sharon Farrell - Laptop Carrying Case
	Scott Churbock - Laptop Carrying Case
	Argelia Vallejo - Laptop Carrying Case
	Mike Millwee - Microsoft Office 2000 Professional Software
	Stacy Holtzman - Microsoft Visio2000 Technical Edition Software

Thanks again for supporting March of Dimes!",0,"Once again, Enron employees showed their generosity. Thanks to everyone who participated in the March of Dimes Raffle, we raised over $,. The Big Winners in the raffle were: Mary Anne Miller - Airline tickets Cindy Stark - Compaq PA Personal Audio Player Mary Vollmer - Urban Retreat Gift Certificate Ben Nguyen - Four Astros Tickets John Chang - Four Astros Tickets Betty Keenan - Barrington Roller Pen Bob McAuliffe - Cutter & Buck Polo Shirt Kimberly Nelson - Zippered Portfolio Karon O'Gorman - Desk Clock Tammy Kovalcik - Laptop Carrying Case Lisa Gilchrist - Laptop Carrying Case Sharon Farrell - Laptop Carrying Case Scott Churbock - Laptop Carrying Case Argelia Vallejo - Laptop Carrying Case Mike Millwee - Microsoft Office Professional Software Stacy Holtzman - Microsoft Visio Technical Edition Software Thanks again for supporting March of Dimes!",0.0008802635,"Once agian, Enron employes showed there generocity.

Thanks to evryone who particapated in the March of Dimes Raffle, we rased over $1.750 dollars!!

The Big Winner’s in the raffe were:
	•	Mary Ann Millar – Air line tickits
	•	Cindey Stark – Compaq PA Personal Audia Player
	•	Mary Vollmeer – Urban Retreet Gift Certificat
	•	Ben Nugyen – 4 Astros tickits
	•	Jon Chang – 4 Astros ticketts
	•	Bety Keenen – Barrinton Rolller Pen
	•	Bob MacAulife – Cutter & Buck Pollo Shirt
	•	Kimberley Nelsen – Zippered Portfoleo
	•	Karon Ogormann – Desk Clok
	•	Tami Kovalcik – Laptop Carryng Case
	•	Lisa Gilchrest – Laptop Carying Casse
	•	Sharon Farel – Laptop Carrying Case
	•	Scot Churbok – Laptop Carryng Casse
	•	Argelia Vayeyo – Laptop Carrying Case
	•	Mike Milwe – Microsoft Office 2000 Proffessional Sofware
	•	Stacey Holtzmann – Microsoft Viso 2000 Tecknical Edtion Sofware

Thanx again for supportting March of Dimes!! 🙌",0.0007057699840515852
1948,<4713172.1075853702510.JavaMail.evans@thyme>,"We parked 25,000 dt/day on the 25th-27th (deal 225515) on CNG and we will be 
taking it out during April (deal 225534).  ENA will pay CNG $.02 x 75,000 dt 
= $1,500.00 in April.

Please let me know if you have questions.",0,"We parked , dt/day on the th-th (deal ) on CNG and we will be taking it out during April (deal ). ENA will pay CNG $. x , dt = $,. in April. Please let me know if you have questions.",0.0013856047,"We parkd 25.000 dt/day on the 25th-27th (deal 225515) on CNG and we will be
taking it out durring Aprill (deal 225534). ENA will pay CNG $.02 x 75000dt
= $1.500,00 in April.

Please let me no if you got any questons.",0.0008375527104362845
2868,<200209300801.g8U81eg21347@dogma.slashnull.org>,"URL: http://www.newsisfree.com/click/-1,8381142,215/
Date: 2002-09-30T03:05:01+01:00

*World latest:* Israel pulled its tanks and soldiers out of Yasser Arafat's 
West Bank headquarters yesterday.


",0,URL: Date: --T::+: *World latest:* Israel pulled its tanks and soldiers out of Yasser Arafat's West Bank headquarters yesterday.,0.004219385,"URL: http://www.newsisfree.com/click/-1,8381142,215/
Date: 2002-09-30T03:05:01+01:00

World latist: Isreal pulled it’s tanks and soilders out off Yasser Arafats
West Bank headquartars yesturday.",0.0016268363688141108
7757,<12962400.1075858435406.JavaMail.evans@thyme>,"PEREIRA, SUSAN W,
?
You have been selected to participate in the Mid Year 2001 Performance 
Management process.  Your feedback plays an important role in the process, 
and your participation is critical to the success of Enron's Performance 
Management goals.
?
To complete a request for feedback, access PEP at http://pep.enron.com and 
select Complete Feedback from the Main Menu.  You may begin providing 
feedback immediately and are requested to have all feedback forms completed 
by Friday, May 25, 2001. 
?
If you have any questions regarding PEP or your responsibility in the 
process, please contact the PEP Help Desk at:
Houston:  1.713.853.4777, Option 4 or email: perfmgmt@enron.com
London:  44.207.783.4040, Option 4 or email: pep.enquiries@enron.com 
?
Thank you for your participation in this important process. 
?
The following is a CUMULATIVE list of employee feedback requests with a 
status of ""OPEN.""  Once you have submitted or declined an employee's request 
for feedback, their name will no longer appear on this list.  NOTE: YOU WILL 
RECEIVE THIS MESSAGE EACH TIME YOU ARE SELECTED AS A REVIEWER. 
?
Employee Name:
CHAVEZ, ALEJANDRA
HALSTEAD, LIA
LOOCKE, KELLY
SANCHEZ, CHRISTINA
VILLARREAL, JESSE",0,"PEREIRA, SUSAN W, ? You have been selected to participate in the Mid Year Performance Management process. Your feedback plays an important role in the process, and your participation is critical to the success of Enron's Performance Management goals. ? To complete a request for feedback, access PEP at and select Complete Feedback from the Main Menu. You may begin providing feedback immediately and are requested to have all feedback forms completed by Friday, May , . ? If you have any questions regarding PEP or your responsibility in the process, please contact the PEP Help Desk at: Houston: ..., Option or email: London: ..., Option or email: ? Thank you for your participation in this important process. ? The following is a CUMULATIVE list of employee feedback requests with a status of ""OPEN."" Once you have submitted or declined an employee's request for feedback, their name will no longer appear on this list. NOTE: YOU WILL RECEIVE THIS MESSAGE EACH TIME YOU ARE SELECTED AS A REVIEWER. ? Employee Name: CHAVEZ, ALEJANDRA HALSTEAD, LIA LOOCKE, KELLY SANCHEZ, CHRISTINA VILLARREAL, JESSE",0.00074722426,"PERRIRA, SUZAN W
?

You have been selectd to particiapte in the Mid Yr 2001 Perfomance Managment procces. Your feedbakc play’s an important roll in the proses, and your paricipation is criticle to the sucess of Enrons Performnce Managemnt goal’s.

?

To compleete a request for feedbakc, acces PEP at http://pep.enron.com and
select “Compleet Feedbakc” from the Main Menu. You may begin providing
feedbac immediatly and are requested too have all form’s complited by Friday, May 25, 2001.

?

If you got any question’s regarding PEP or your responcibility in the proccess,
please contact the PEP Help Desk at:
Huston: 1.713.853.4777, Option 4 or email: perfmanagment@enron.com
Londin: 44.207.783.4040, Option 4 or email: pep.inquires@enron.co.uk

?

Thank’s for ur particiaption in this importent process.

?

The follwoing is a CUMALATIVE list of employe feedbakc request’s with a
status of “OPPEN.” Once you submit or decline someone’s request for feedbac,
their name won’t be on the list no more.
NOTE: YOU WILL RECIEVE THIS MESAGE EVERY TIME YOU’R CHOOSEN AS A REVIEWR.

?

Employe Name’s:
CHAVEZ, ALJANDRA
HALSTED, LIA
LOKKE, KELY
SANCHES, KRISTINA
VILLARREAL, JESY",0.0006543491617776453
6732,<21868504.1075842455070.JavaMail.evans@thyme>,"Once everyone (you or an approved designate) is ok with the date and time, I 
will communicate a conference call number to be used. We are prepared to move 
forwarded and bring this issue to closure and wanted to make sure you were in 
the loop.",0,"Once everyone (you or an approved designate) is ok with the date and time, I will communicate a conference call number to be used. We are prepared to move forwarded and bring this issue to closure and wanted to make sure you were in the loop.",0.0020009112,"Once every one (you or an aprove desiggnate) is okay with the date & time, i
will comunicate a conferance call number to be use. We are perpared to move
forwarded and bring this isue too closer, and wanted too make sure your in the
loop.",0.0013251384953036904
4688,<001001c249e6$863c4e00$13cca341@networksonline.com>,"I have been trying to research via SA mirrors and search engines if a canned
script exists giving clients access to their user_prefs options via a
web-based CGI interface. Numerous ISPs provide this feature to clients, but
so far I can find nothing. Our configuration uses Amavis-Postfix and ClamAV
for virus filtering and Procmail with SpamAssassin for spam filtering. I
would prefer not to have to write a script myself, but will appreciate any
suggestions.



-------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk

",0,"I have been trying to research via SA mirrors and search engines if a canned script exists giving clients access to their user_prefs options via a web-based CGI interface. Numerous ISPs provide this feature to clients, but so far I can find nothing. Our configuration uses Amavis-Postfix and ClamAV for virus filtering and Procmail with SpamAssassin for spam filtering. I would prefer not to have to write a script myself, but will appreciate any suggestions. ------------------------------------------------------- This sf.net email is sponsored by: OSDN - Tired of that same old cell phone? Get a new here for FREE! _______________________________________________ Spamassassin-talk mailing list",0.18239772,"I have been tryin too reserch via SA mirors and seach engins if a canned scrip
exsists givving clientz acces to there user_pref’s options via a webbased CGI
interfase. Numerous ISP’s provide this featur to they’re clients, but so far i
cant find nothing. Our configeration usez Amavis-Postfix and Clam AV for virus
filtering and Procmial with SpamAssasin for spam filterring. I’d preffer not
to write a scrip by myself but will apreciate any sudjestions.

⸻



⸻

This sf.net e-mail is sponsord by: OSDN - Tierd of that same old cellfone?
Get a new 1 here for FREE!
https://www.infonic.com/r.asp?r=sourceforge1&refcode1=vs3390

⸻

Spamassasin-talk maling list
Spamassassin-talk@lists.sourceforg.net
https://lists.sourceforg.net/lists/listinfo/spamassasin-talk",0.6471089720726013
5273,<7306525.1075846223769.JavaMail.evans@thyme>,"Please see the attached article in the recent issue of Regulation, Volume 23, 
Number 3, 2000:
",0,"Please see the attached article in the recent issue of Regulation, Volume , Number , :",0.011937049,"Plz see the atached articel in the rescent isue of Regualtion, Volum 23,
Number 3, 2000:
",0.012354147620499134
241,<27432013.1075847432499.JavaMail.evans@thyme>,"Tana - We are on their case. - Thank you. Marcus



	Tana Jones@ECT
	04/19/2001 01:42 PM
		 
		 To: Marcus Nettelton/NA/Enron@ENRON
		 cc: Stephanie Sever/Enron@EnronXGate, Edward Sacks/Enron@EnronXGate
		 Subject: Re: FW: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent

marcus,

you've got to get this straight with Global Counterparty or you're going to 
have a bust on your trades.
----- Forwarded by Tana Jones/HOU/ECT on 04/19/2001 01:40 PM -----

	Rhonda L Denton
	04/19/2001 01:31 PM
		
		 To: Kelly Lombardi/NA/Enron@ENRON
		 cc: Melissa Ann Murphy/HOU/ECT@ECT, Stephanie Sever/HOU/ECT@ECT, Tana 
Jones/HOU/ECT@ECT, Edward Sacks/Corp/Enron@Enron
		 Subject: Re: FW: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent

This counterparty is not set up in GCP as an Agent, only as Alliant Energy 
Corporate Services, Inc.  We have no power contracts with this entity as set 
up in GCP or in the agency name.  There are deals in Enpower under the 
corporate name and they are confirmed under the GTC.


   
	
	
	From:  Kelly Lombardi @ ENRON                           04/19/2001 11:40 AM
	

To: Rhonda L Denton/HOU/ECT@ECT, Melissa Ann Murphy/HOU/ECT@ECT
cc:  
Subject: FW: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent

Rhonda or Melissa:
Please respond to me on approving the product, East PHy. Power under Alliant 
Energy Corporate Services, Inc., as Agent, so EOL can do their rush tomorrow.
Thanks:
Kelly@5-8491
---------------------- Forwarded by Kelly Lombardi/NA/Enron on 04/19/2001 
11:28 AM ---------------------------
From: Stephanie Sever/ENRON@enronXgate on 04/19/2001 10:57 AM
To: Kelly Lombardi/NA/Enron@Enron
cc:  

Subject: FW: EOL Rush:  Alliant Energy Corporate Services, Inc., as Agent


Kelli,

Please review for us East PHy. Power  We will do a rush approval tomorrow, 
once I can pull the cp across.  Let me know if you have any questions.

Thanks,
Stephanie
 -----Original Message-----
From:  Jones, Tana  
Sent: Thursday, April 19, 2001 10:47 AM
To: Sever, Stephanie
Cc: Sacks, Edward
Subject: EOL Rush:  Alliant Energy Corporate Services, Inc., as Agent

Legal is OK to open the above counterparty immediately for US east physical 
and financial power products.






",0,"Tana - We are on their case. - Thank you. Marcus Tana Jones@ECT // : PM To: Marcus Nettelton/NA/Enron@ENRON cc: Stephanie Sever/Enron@EnronXGate, Edward Sacks/Enron@EnronXGate Subject: Re: FW: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent marcus, you've got to get this straight with Global Counterparty or you're going to have a bust on your trades. ----- Forwarded by Tana Jones/HOU/ECT on // : PM ----- Rhonda L Denton // : PM To: Kelly Lombardi/NA/Enron@ENRON cc: Melissa Ann Murphy/HOU/ECT@ECT, Stephanie Sever/HOU/ECT@ECT, Tana Jones/HOU/ECT@ECT, Edward Sacks/Corp/Enron@Enron Subject: Re: FW: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent This counterparty is not set up in GCP as an Agent, only as Alliant Energy Corporate Services, Inc. We have no power contracts with this entity as set up in GCP or in the agency name. There are deals in Enpower under the corporate name and they are confirmed under the GTC. From: Kelly Lombardi @ ENRON // : AM To: Rhonda L Denton/HOU/ECT@ECT, Melissa Ann Murphy/HOU/ECT@ECT cc: Subject: FW: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent Rhonda or Melissa: Please respond to me on approving the product, East PHy. Power under Alliant Energy Corporate Services, Inc., as Agent, so EOL can do their rush tomorrow. Thanks: Kelly@- ---------------------- Forwarded by Kelly Lombardi/NA/Enron on // : AM --------------------------- From: Stephanie Sever/ENRON@enronXgate on // : AM To: Kelly Lombardi/NA/Enron@Enron cc: Subject: FW: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent Kelli, Please review for us East PHy. Power We will do a rush approval tomorrow, once I can pull the cp across. Let me know if you have any questions. Thanks, Stephanie -----Original Message----- From: Jones, Tana Sent: Thursday, April , : AM To: Sever, Stephanie Cc: Sacks, Edward Subject: EOL Rush: Alliant Energy Corporate Services, Inc., as Agent Legal is OK to open the above counterparty immediately for US east physical and financial power products.",0.00077907875,"Tanna -
We’re on there case. - Thankyou. Marcus

⸻

Tanna Jons@ECT
04/19/2001 01:42 PM

To: Markus Netelton/NA/Enron@ENRON
cc: Stephany Seever/Enron@EnronXGate, Edword Sacs/Enron@EnronXGate
Subject: Re: FW: EOL Rush: Allient Enerjy Corporrate Servises, Inc., as Agant

marcus,

you gota get this straight w/ Global Counterparty or you’ll have a bust in ur trades.

— Forwarded by Tanna Jons/HOU/ECT on 04/19/2001 01:40 PM —

Ronda L Denton
04/19/2001 01:31 PM

To: Kelley Lombardy/NA/Enron@ENRON
cc: Melisa Ann Murfey/HOU/ECT@ECT, Stephany Seever/HOU/ECT@ECT, Tanna
Jons/HOU/ECT@ECT, Edword Sacs/Corp/Enron@Enron
Subject: Re: FW: EOL Rush: Allient Enerjy Corporate Servises, Inc., as Agant

This counterpary ain’t setup in GCP as a Agent, only as Allient Enerjy
Corp. Servises, Inc. We got no power contracts with this enitity in GCP or the agancy name.
Theres deals in Enpower under the corp name & they’re confirmed under GTC.

⸻

From: Kelli Lombardy @ ENRON — 04/19/2001 11:40 AM

To: Ronda L Denton/HOU/ECT@ECT, Melisa Ann Murfey/HOU/ECT@ECT
Subject: FW: EOL Rush: Allient Enerjy Corporate Servises, Inc., as Agant

Rhonda or Melisa —
pls respond bout aproving East PHy Power product under Allient Enerjy Corp Servises, Inc., as Agant,
so EOL can do rush tommorow.
Thx:
Kelli@5-8491

⸻

From: Stephany Sever/ENRON@enronXgate — 04/19/2001 10:57 AM
To: Kelli Lombardy/NA/Enron@Enron

Subject: FW: EOL Rush: Allient Enerjy Corporate Servises, Inc., as Agant

Kelli,

Pls review East PHy. Power — We’ll do a russh aproval 2morrow,
once I pull the cp across.
Let me know if you got Qs.

Thnx,
Stefanie

⸻

From: Jons, Tanna
Sent: Thursday, April 19, 2001 10:47 AM
To: Sever, Stefanie
Cc: Sacs, Edword
Subject: EOL Rush: Allient Enerjy Corporate Servises, Inc., as Agant

Legel says its OK to open above counterpary rite away for US East fizical and financial power stuff.",0.0006735852803103626
2092,<10463429.1075859277840.JavaMail.evans@thyme>,"Bill as per your request, presented below is a status of the air permitting activity by the agencies as of today 11/01/01.

Stations 1 and 2. The EPA has completed is review of these state permits and has sent them back to the ADEQ for comment.  I have spoken to Shudeish, the permit engineer for the ADEQ, and he is reviewing EPA's comments as this e mail is being written.  He will give me a call when his review is complete, but he does not anticipate any major issues which cant be resolved prior to the public hearing.  These permits went out for public notice on October 15 and 16, which means that the comment period ends on Nov. 15 and 16.  The ADEQ plans on holding the public hearing for both permits on monday Nov. 19 in Williams AZ. at 7:00 pm.  I plan on being there.  Williams is located approx. 30 miles west of Flagstaff, AZ.  The address for the hearing is the Council Chambers located at 113 south 1st street.  So far, there have been no responses submitted to the ADEQ by the public.  In EPA's review process, they  had a problem with methodology proposed by Transwestern for measuring sulfur in the fuel gas.  We had proposed stain tubes in the custom fuel monitoring schedule, they wanted us to do wet chemistry.  We convinced them otherwise (Byron, because of this, you wont need to order a sulfur analyzer for the Needles facility.  This should save you about $40K).  There was also an issue with manufacturers quarantees regarding particulate matter emissions from the turbine and catepillar.  This has been resolved also.

Stations 3 and 4.  I received a call from Roger Kohn, the permit engineer for the EPA.  He is satisified with the permit application contents and has also approved stain tubes for the sulfur measurement at these locations.  There are no outstanding issues on these permits from the EPA.  The public comment period for the Station 3 and 4 permits ends Nov.  3.  After this date, it will take 1-2 weeks for the Regional Administrator of the EPA to sign off on the permits  and then he will have them issued to Transwestern.  As of this date, there have been no comments submitted to the EPA for the permits for station 3 and or 4.

Ill keep everyone apprised of future events.
",0,"Bill as per your request, presented below is a status of the air permitting activity by the agencies as of today //. Stations and . The EPA has completed is review of these state permits and has sent them back to the ADEQ for comment. I have spoken to Shudeish, the permit engineer for the ADEQ, and he is reviewing EPA's comments as this e mail is being written. He will give me a call when his review is complete, but he does not anticipate any major issues which cant be resolved prior to the public hearing. These permits went out for public notice on October and , which means that the comment period ends on Nov. and . The ADEQ plans on holding the public hearing for both permits on monday Nov. in Williams AZ. at : pm. I plan on being there. Williams is located approx. miles west of Flagstaff, AZ. The address for the hearing is the Council Chambers located at south st street. So far, there have been no responses submitted to the ADEQ by the public. In EPA's review process, they had a problem with methodology proposed by Transwestern for measuring sulfur in the fuel gas. We had proposed stain tubes in the custom fuel monitoring schedule, they wanted us to do wet chemistry. We convinced them otherwise (Byron, because of this, you wont need to order a sulfur analyzer for the Needles facility. This should save you about $K). There was also an issue with manufacturers quarantees regarding particulate matter emissions from the turbine and catepillar. This has been resolved also. Stations and . I received a call from Roger Kohn, the permit engineer for the EPA. He is satisified with the permit application contents and has also approved stain tubes for the sulfur measurement at these locations. There are no outstanding issues on these permits from the EPA. The public comment period for the Station and permits ends Nov. . After this date, it will take - weeks for the Regional Administrator of the EPA to sign off on the permits and then he will have them issued to Transwestern. As of this date, there have been no comments submitted to the EPA for the permits for station and or . Ill keep everyone apprised of future events.",0.0009378073,"bill,

as per you’re request, below is a status for the air permmiting activty by agency’s as of today 11/1/01.

stations 1 & 2 - the epa has finishd its review of those state permitts and sended them back too the adeq for comments. i talked to shudeish (permit engenier @ adeq) and hez reviewin the epa’s comentz while this e-mail is bein wrote. he’ll call me when he done. he don’t expect any major thing’s that cant be fixxed before the publick hearing. permitz went out 4 public notice on oct 15 & 16 so the comments end on nov 15/16. adeq gonna hold the hearing monday nov 19 @ 7:00pm in williams az (approx. 30 miles west flagstaff). adress is 113 S. 1st st., Council Chambars. so far public didnt send anything to adeq. epa had 1 problem w/ method for meassuring sulfer in the fuel gas. we wanted 2 use stain tubz in fuel monitering skedule, they wanted wet chem. we convince them otherwise (byron, u don’t gotta order sulfer analizer 4 needles site now = save ~$40k). also had issue w/ manufacter guarrantees for PM emissions on turbine + catepillar. this fixed now.

stations 3 & 4 - got a call from roger kohen (epa permit guy). hes ok with the aplication + also said ok 2 stain tubz for sulfer. no issues there. public comment ends nov. 3. aftar that, 1-2 wks for EPA regional admin 2 sign and send them 2 transwestern. no comments from public yet on those permits 4 3 or 4.

ill keep u all in the loop as more stuff happen.",0.0006748407031409442
