number_of_text_plain_sections,number_of_text_html_sections,number_of_image_sections,number_of_application_sections,ratio_text_plain_to_any_text_sections,length_of_text_in_text_html_section,index_charset_first_sec,num_unique_charset,num_standart_header,num_in_reply_to,num_received,exist_x_mailer,exist_user_agent,mime_version,case_var_MV,length_message_id,ascii_boundary_char,existence_of_domain,is_id_part_hex,is_id_part_decimal,existence_of_dots_in_id_part,existence_of_special_chars_in_id_part,is_domain_part_hex,is_domain_part_decimal,existence_of_dots_in_domain_part,existence_of_special_chars_in_domain_part,num_From_header_tags_in_thread,num_ofToheader_tags_in_thread,num_ofunique_To_addresses_in_thread,num_ofunique_Reply-To_addresses_in_thread,num_ofuniquedomains_in_all_email_addresses,ratio_unique_To_domains_to_unique_domains_in_all_addresses,num_Cc_addresses,num_Bcc_addresses,num_of_Sender_addresses,IsReturn_Path_identical_to_Reply_To,num_ofTo_domains_identical_to_From_domain,num_ofCc_domains_identical_to_From_domain,num_ofBcc_domains_identical_to_From_domain,IsFrom_domain_same_as_Reply-To_domain,IsFrom_domain_same_as_Return-Path_domain,IsFrom_entity_bracketed,IsTo_entity_bracketed,len_first_boundary,boundary_start_with_=,exist_=_middle_boundary,exist_underscore_boundary,exist_dot_boundary,exist_other_special_char_boundary,boundary_hexadecimal,boundary_decimal,depht_DOM_tree,num_DOM_leaf,num_unique_DOM_leaf,mean_DOM_leaf_depths,standart_dev_DOM_depths,num_email_addresses_in_html_section,num_a_tags,num_URLs_in_html_section,ratio_unique_domains_to_domains_of_allURLs_in_anytags,length_style,exist_direction,exist_JS,label,email_id,index
1,0,0,0,1.0,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,,0
1,0,0,0,1.0,0,1,1,7,1,7,0,1,1,0,32,64,1,0,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<20020805223356.GA26632@csn.ul.ie>,1
1,0,0,0,1.0,0,1,1,7,1,7,0,0,1,0,56,64,1,0,0,1,1,0,0,1,0,1,1,1,0,3,0.3333333333333333,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<Pine.BSO.4.44.0209231721540.29230-100000@crank.slack.net>,2
1,0,0,0,1.0,0,-1,0,6,0,3,0,0,0,0,45,64,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<200210010801.g91815K15544@dogma.slashnull.org>,3
0,1,0,0,0.0,0,1,1,8,0,4,0,0,1,0,46,64,1,1,0,0,1,0,0,1,0,1,1,4,1,8,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,7,9.27659574468085,2.900492457523741,0,3,3,0.3333333333333333,125,0,0,1,<000047c36dc7$0000559c$000012c8@fallerdavis.com>,4
1,0,0,0,1.0,0,1,1,8,0,9,1,0,1,0,40,64,1,0,0,0,1,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<E17ysNa-00048e-00@rhenium.btinternet.com>,5
1,0,0,0,1.0,0,-1,0,6,0,3,0,0,0,0,45,64,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<200210030801.g9381wK20010@dogma.slashnull.org>,6
1,0,0,0,1.0,0,1,1,7,0,7,0,0,1,0,56,64,1,0,0,1,1,0,0,1,0,1,1,1,0,2,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<Pine.BSO.4.44.0209112113570.28359-100000@crank.slack.net>,7
1,0,0,0,1.0,0,-1,0,5,0,4,0,0,0,0,43,64,1,1,0,0,1,1,1,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<00005824547b$000015c2$00000c3d@217.5.149.66>,8
1,0,0,1,1.0,0,1,1,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,1,1,27,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,,9
1,0,0,0,1.0,0,-1,0,8,0,0,1,0,1,0,43,64,1,1,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<6.0.0.22.1.20050909215928.571e3122@skim.com>,10
1,1,0,0,0.5,0,1,1,7,0,2,0,0,1,0,44,64,1,0,0,0,1,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,27,1,1,0,0,0,1,1,10,20,6,5.9,2.3430749027719964,3,2,2,0.5,2887,0,0,1,<E1fMvpn-0000Yl-NB@srv01.stampcyberlan.com.br>,11
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,44,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200402161452.i1GEqT8x014835@escape.mr.itd.UM>,12
1,0,0,0,1.0,0,-1,0,6,0,3,0,0,0,0,45,64,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<200210010801.g9181wK15735@dogma.slashnull.org>,13
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<15418700.1075845652308.JavaMail.evans@thyme>,14
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,2,0,1,1.0,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<19882019.1075849675232.JavaMail.evans@thyme>,15
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,40,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200411201829.iAKITWq9021061@smtp.eecs.UM>,16
1,1,0,0,0.5,0,1,1,7,0,3,0,0,1,0,52,64,1,0,0,0,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,54,0,0,1,0,0,0,0,6,16,3,4.4375,0.7043392293490403,0,1,5,0.8,353,0,0,1,<xgaM0FQhTXGUDIX7OvPz5A@ismtpd0003p1iad1.sendgrid.net>,17
0,1,0,0,0.0,0,1,1,8,0,3,0,0,1,0,49,64,1,1,0,0,1,0,0,1,0,1,1,4,0,9,0.4444444444444444,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,26,6,7.153846153846154,4.478086023947041,0,4,7,0.7142857142857143,0,0,0,1,<00007e0a499d$00004569$00004e36@mx1.mail.yahoo.com>,18
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,48,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200403212248.i2LMmt3R004059@cryforhelp.mr.itd.UM>,19
1,0,0,0,1.0,0,-1,0,5,0,7,0,0,0,0,54,64,1,1,0,1,0,0,0,1,1,1,1,1,0,2,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<20020921233650.AFB1488D3A@belphegore.hughes-family.org>,20
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,42,64,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<7736240.1075841907856.JavaMail.evans@thyme>,21
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,3,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<32503209.1075858126968.JavaMail.evans@thyme>,22
1,0,0,0,1.0,0,-1,0,6,0,3,0,0,0,0,45,64,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<200210010801.g9181kK15695@dogma.slashnull.org>,23
1,0,0,0,1.0,0,1,1,8,0,6,1,0,1,1,37,64,1,1,0,0,1,0,0,0,0,1,1,2,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<007d88d01c0c$7181e4c2$4cb02ad8@tjndcf>,24
0,1,0,0,0.0,0,1,1,7,0,11,1,0,1,1,37,64,1,1,0,0,1,0,0,0,0,1,1,1,1,2,0.5,0,0,1,0,0,0,0,0,0,0,0,41,0,1,1,1,0,0,0,20,32,7,14.40625,4.4360693116203676,0,5,5,0.2,612,0,0,1,<010d71b00a6b$5457d8e0$1ea06de1@oowbva>,25
0,1,0,0,0.0,0,1,1,8,0,3,0,0,1,0,49,64,1,1,0,0,1,0,0,1,0,1,1,48,1,12,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,136,5,1.9191176470588236,0.27265435614322286,1,1,1,1.0,550,0,0,1,<00007085590b$000014cd$00006e54@berka.zaman.com.tr>,26
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,2,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<24995999.1075859076984.JavaMail.evans@thyme>,27
1,1,0,0,0.5,0,1,1,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,1,1,27,1,1,0,0,0,1,1,6,24,5,4.291666666666667,0.8887803753208976,0,1,1,1.0,1008,0,0,1,,28
1,0,0,0,1.0,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,,29
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,43,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200608210426.k7L4QFha003349@mission.mail.UM>,30
1,1,0,0,0.5,0,1,1,7,0,2,0,0,1,0,57,64,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,1,1,27,1,1,0,0,0,1,1,20,58,10,11.5,5.065944443383511,1,11,13,0.15384615384615385,1028,0,0,1,<201702161459.v1GD0CNE026305@smtp01.atlngahp.sys.nuvox.net>,31
1,0,0,0,1.0,0,1,1,8,0,4,0,0,1,0,33,64,1,1,0,0,1,0,0,0,0,1,1,10,0,19,0.47368421052631576,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<00006250709f$000004fe$000076cd@er>,32
0,1,0,0,0.0,0,-1,0,8,0,4,0,0,1,0,34,64,1,1,0,0,1,0,0,0,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,35,6,8.742857142857142,2.195356881405548,0,5,6,0.5,1740,0,0,1,<028a5819-42193-02d99303109375@pc05>,33
1,1,0,0,0.5,0,1,1,7,0,4,0,0,1,1,39,64,1,0,0,0,1,0,0,0,1,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,0,1,0,58,42,10,37.023809523809526,16.5593997119721,0,23,34,0.11764705882352941,9610,0,0,0,<Z1gFwJbCTXuogx7hS-Nqaw@geopod-ismtpd-13>,34
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,1,71,64,1,0,0,1,0,0,0,1,1,1,1,1,1,2,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<14556110.1143128435210.JavaMail.root@elwamui-ovcar.atl.sa.earthlink.net>,35
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<32971850.1075857436348.JavaMail.evans@thyme>,36
1,0,0,0,1.0,0,1,1,7,0,7,0,0,1,0,30,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<m24rdudrwr.fsf@maya.dyndns.org>,37
