index,email_id,structure_proba,label
0,,0.99819773,1
1,<7137067.1075844201956.JavaMail.evans@thyme>,0.003276545,0
2,<BAY103-F34012A39D879A5A319A8E2A2840@phx.gbl>,0.9976109,1
3,<27807476.1075842404395.JavaMail.evans@thyme>,0.0073899943,0
4,<vAWkKPLUQtizg5elUBb5LA@geopod-ismtpd-38>,0.0037107894,0
5,<20050527223958.0B79EC081@krusty.si.UM>,0.9835292,1
6,<E1csD1E-0008VN-T1@bon.bonavenue.com>,0.99617803,1
7,<20060627154942.65999.qmail@web36402.mail.mud.yahoo.com>,0.9845879,1
8,,0.99907744,1
9,<200208060111.CAA16347@webnote.net>,0.99230075,1
10,<12927168.1075840356488.JavaMail.evans@thyme>,0.0044821524,0
11,<24317656.1075857614033.JavaMail.evans@thyme>,0.0073899943,0
12,<200107291534.LAA82720@nonline.net>,0.90608984,1
13,<Kshiwjj7N54h0HRuD6pcCkx78jQtBaCAA1dTXgMZAU@3e6ea8adbbdb21eafc4e5a45f616503d>,0.88953274,1
14,<20020810005844.GA652@calm.mc>,0.03127701,0
15,<200207251406.g6PE6gV24296@houston.rr.com>,0.33552736,0
16,<200403270413.i2R4CubU008353@fate.mr.itd.UM>,0.9974808,1
17,<20230510080727.C2872079692A9C2E@monkey.org>,0.9889304,1
18,<0102018243f98b63-8e53a2fe-25ba-4bbb-ae9d-a1dc5d2e7909-000000@eu-west-1.amazonses.com>,0.9140851,1
19, <06fec0a9-12af-4ea0-81ab-5105c1cc8f76@RALPRODMAIL01.healthdec.com>,0.9909905,1
20,<E1D9LkU-0004EK-Sv@cpanel.ev1servers.net>,0.99709,1
21,<1141688467.440cc89308c77@eltimon.com>,0.98975825,1
22,<dW26HLrNTc-hB4gsfKVguQ@geopod-ismtpd-5>,0.0035955426,0
23,<59c40f79.9303240a.f1ba3.c070SMTPIN_ADDED_MISSING@mx.google.com>,0.9009598,1
24,<22985267.1075845767985.JavaMail.evans@thyme>,0.019610437,0
25,<efbef6a9b5e193217393ed34709c8b12@citylan.com.pl>,0.9652855,1
26,<33062276.1075859397400.JavaMail.evans@thyme>,0.05869416,0
27,<20463171.1075860332646.JavaMail.evans@thyme>,0.019610437,0
28,<12351899.1075861106289.JavaMail.evans@thyme>,0.0073899943,0
29,<200305061902.h46J2lN5022595@bluewhale.cs.CU>,0.99513936,1
30,<7262875.1075856734492.JavaMail.evans@thyme>,0.0045548053,0
31,<0000721b7519$00001e44$000043bf@corp.portal.com>,0.99532545,1
32,<Pine.LNX.4.33.0208202342060.5921-100000@hydrogen.leitl.org>,0.0025917066,0
33,<16724934.1075841628402.JavaMail.evans@thyme>,0.0073899943,0
34,<200208131402.00058.donncha.ocaoimh@tradesignals.com>,0.0022323914,0
35,<BAY13-F151003E6144DB67C972B41BC690@phx.gbl>,0.9976109,1
36,,0.9980586,1
37,<LNHSERVER1ZRhQdOgl40000042f@lnhserver1.ladysmithcarecommunity.com>,0.97074896,1
38,<21871069.1075854707400.JavaMail.evans@thyme>,0.0073899943,0
39,<20020916114641.B12169@rover.vipul.net>,0.001308974,0
40,<31859130.1075841615240.JavaMail.evans@thyme>,0.0073899943,0
41,<200207191620.g6JGKTp01769@mandark.labs.netnoteinc.com>,0.9573503,1
42,<32605479.1075854207212.JavaMail.evans@thyme>,0.0053671235,0
43,<200308120513.h7C5D5Io021250@bluewhale.cs.CU>,0.99881446,1
44,<31728236.1075852430482.JavaMail.evans@thyme>,0.012144196,0
45,<21078601.1075860241835.JavaMail.evans@thyme>,0.0073899943,0
46,<200611230911.kAN9BG0L026619@mailserver-ng.cs.umbc.edu>,0.9957073,1
47,<E1DwHpe-0004xb-Sh@server7.webplus24.de>,0.9941407,1
48,,0.99549484,1
49,<16900930.1075851713208.JavaMail.evans@thyme>,0.019610437,0
50,<20160622133701.998937DB1B73ED7A@approject.com>,0.9635686,1
51,<002601c24a04$8eea9ca0$0401a8c0@erik>,0.11337992,0
52,<1253813cde.13cde12538@email.bigpond.com>,0.98185503,1
53,<BAY20-F198763210A05B4B075E035910B0@phx.gbl>,0.99711037,1
54,,0.99816054,1
55,<200603011849.k21InNxq027767@mailserver-ng.cs.umbc.edu>,0.99737656,1
56,<p05200a0db9c4a8c4bd16@[192.168.0.102]>,0.20202017,0
57,<0000341d5b89$00003356$00004c75@xa2.so-net.or.jp>,0.9983625,1
58,<8614824.1075861639631.JavaMail.evans@thyme>,0.05869416,0
59,<200208221811.g7MIBJdr004189@sionnach.ireland.sun.com>,0.008656057,0
60,<2033297792.820023461728927112542.JavaMail.app@bg31-ca-ue1.prod.awspr>,0.01859091,0
61,<200611141411.kAEEBr4c027481@chaos.mail.UM>,0.9974808,1
62,<707532.1075856492009.JavaMail.evans@thyme>,0.008129406,0
63,<23908443.1075841446384.JavaMail.evans@thyme>,0.0073899943,0
64,<20021006123628.0d199281.matthias@rpmforge.net>,0.022501417,0
65,<20191205103218.19DB7D867C3EEB46@wowrack.com>,0.9846454,1
66,<5084733.1075845609314.JavaMail.evans@thyme>,0.0043939715,0
67,<20181013091028.B3B49B21DAEBDE4C@aralhajri.com>,0.9920386,1
68,<BAY15-F73D62F1A67FEF49DA66B6F03E0@phx.gbl>,0.9974299,1
69,<20211009130104C38775385C-D2DB30596C@ricetecmilling.com>,0.9620558,1
70,,0.9743336,1
71,<1919273.1075858159041.JavaMail.evans@thyme>,0.019610437,0
72,<12536660.1075856711537.JavaMail.evans@thyme>,0.0045548053,0
73,,0.99883634,1
74,<OFED30FBCB.8F8871A9-ON48256A9E.00103C0D@ec960.com>,0.84726167,1
75,<1027711160.10358.6.camel@avalon>,0.0039294995,0
76,<25147872.1075840660717.JavaMail.evans@thyme>,0.0073899943,0
77,<20160325212350.43CC911A12@smtpin11.b.hostedemail.com>,0.997767,1
78,<20231018075444.2640BF4EA79ABB64@slwilliarnson.com>,0.9983569,1
79,,0.99883634,1
80,<20020908150126.44010C44D@argote.ch>,0.13172834,0
81,<20190424080226.1E94896740CCF8F4@zdravushka.by>,0.9931097,1
82,<200206070650.g576oMZ10732@xum5.xumx.com>,0.9154895,1
83,<circleplus$196.207.197.107$.443c0c3d.b401.2407.11721@berryllium.onspeed.com>,0.9639018,1
84,<002601c23f17$dab92680$f2812d40@landshark>,0.07266215,0
85,<001d35b30a8b$6531c7d2$3ad61ec6@rnqptb>,0.9815723,1
86,<7306762.1075841543296.JavaMail.evans@thyme>,0.0044821524,0
87,<012c42d44c7a$2682e7c3$2ab41bd6@bogrjq>,0.9921985,1
88,<2144404.1075852418805.JavaMail.evans@thyme>,0.019610437,0
89,<9858926.1075861734084.JavaMail.evans@thyme>,0.0073899943,0
90,<026d38a36a5d$4328a5b8$5bc51bb4@vjokjw>,0.9890133,1
91,<Pine.LNX.4.44.0207241609280.27125-100000@isolnetsux.techmonkeys.net>,0.0018738268,0
92,<598172.1075853030724.JavaMail.evans@thyme>,0.05869416,0
93,<qIXMEEGwTS6q0bAq1W9QaA@geopod-ismtpd-11>,0.4889553,1
94,<200411241239.iAOCdQD06794@tightrope.mr.itd.UM>,0.9974808,1
95,<200507231509.j6NF9JZT028738@jacknife.mail.UM>,0.9974808,1
96,<J0E5TJ$63535BB7C1D62F80DB9FE707D075D296@terra.com.mx>,0.92832917,1
97,<3738989.1075842103941.JavaMail.evans@thyme>,0.019610437,0
98,<BAY21-F11427056C0FA2CF854C6A182770@phx.gbl>,0.99744594,1
99,,0.9988165,1
100,<200209070321.g873L2X2015392@lerami.lerctr.org>,0.94718313,1
101,<25800355.1075841804943.JavaMail.evans@thyme>,0.0073899943,0
102,<8063005.1075856584523.JavaMail.evans@thyme>,0.0073899943,0
103,,0.9952441,1
104,<m2y9a0wkfb.fsf@maya.dyndns.org>,0.4443033,0
105,<200607251920.k6PJKSGp017149@awakenings.mail.UM>,0.9974808,1
106,<412-220027021145711390@user>,0.95226747,1
107,<200602091410.k19EAusE031808@chaos.mail.UM>,0.9974808,1
108,<30241313.1075842909236.JavaMail.evans@thyme>,0.0073899943,0
109,<D79A56AD131896448D0860DEE07CBE1FE15A@med-core07.med.wayne.edu>,0.029703468,0
110,<3jGy9xKuSSuxQBmzBKAhIg@geopod-ismtpd-3-1>,0.017260272,0
111,<200602231759.k1NHxKpd030456@sleepers.mail.UM>,0.99862206,1
112,<12974759.1075858058945.JavaMail.evans@thyme>,0.0038386541,0
113,<20051006032514.22474.qmail@web52014.mail.yahoo.com>,0.99724823,1
114,<200207191210.g6JCA3902060@vls3.vlcfw.com>,0.91394293,1
115,<26592.1028641206@munnari.OZ.AU>,0.005148657,0
116,,0.9990707,1
117,<20190617092816.6CEFC9240C2ADFF7@talksgroup.com>,0.99378306,1
118,,0.9988165,1
119,<19747455.1075841912089.JavaMail.evans@thyme>,0.0073899943,0
120,<200511171113.jAHBD9Fa031847@flawless.mail.UM>,0.9974808,1
121,<23702077.1075859914363.JavaMail.evans@thyme>,0.0045548053,0
122,<200204262018.g3QKIaD12534@mandark.labs.netnoteinc.com>,0.55626166,1
123,<200209261531.g8QFVkg25055@dogma.slashnull.org>,0.071707666,0
124,<19bdddd1-eeae-4115-bfe2-6856e832f42d@atl1s07mta2930.xt.local>,0.012362784,0
125,<22053823.1075846993337.JavaMail.evans@thyme>,0.019610437,0
126,<000018e94cd4$0000220a$000063aa@>,0.99011046,1
127,<3D52537D.8000104@heanet.ie>,0.023348387,0
128,<2397720154394218224.010678896A729694@monkey.org>,0.9931346,1
129,<20240117003832.03D12485966149A0@exalplast.com>,0.9966832,1
130,<2E.E4.60158.C6116476@i-00415d1b138603317.mta1vrest.sd.prd.sparkpost>,0.02665734,0
131,<E17js6f-0003Ok-00@cpu59.osdn.com>,0.16887619,0
132,<29747063.1075844522927.JavaMail.evans@thyme>,0.0073899943,0
133,<200207191515.g6JFFnX02981@linux.local>,0.004204992,0
134,<200512010300.jB130dEV012756@mission.mail.UM>,0.99863064,1
135,<29705222.1075845271513.JavaMail.evans@thyme>,0.0073899943,0
136,<20020913191031.GH5897@kluge.net>,0.0005247614,0
137,<5538245.1075856797434.JavaMail.evans@thyme>,0.019610437,0
138,<200505111531.j4BFVT2C029676@score.mail.UM>,0.9974808,1
139,<20020721064645.0039F294098@xent.com>,0.98416084,1
140,<20020906175623.D985EA4C92@belphegore.hughes-family.org>,0.07651918,0
