number_of_text_plain_sections,number_of_text_html_sections,number_of_image_sections,number_of_application_sections,ratio_text_plain_to_any_text_sections,length_of_text_in_text_html_section,index_charset_first_sec,num_unique_charset,num_standart_header,num_in_reply_to,num_received,exist_x_mailer,exist_user_agent,mime_version,case_var_MV,length_message_id,ascii_boundary_char,existence_of_domain,is_id_part_hex,is_id_part_decimal,existence_of_dots_in_id_part,existence_of_special_chars_in_id_part,is_domain_part_hex,is_domain_part_decimal,existence_of_dots_in_domain_part,existence_of_special_chars_in_domain_part,num_From_header_tags_in_thread,num_ofToheader_tags_in_thread,num_ofunique_To_addresses_in_thread,num_ofunique_Reply-To_addresses_in_thread,num_ofuniquedomains_in_all_email_addresses,ratio_unique_To_domains_to_unique_domains_in_all_addresses,num_Cc_addresses,num_Bcc_addresses,num_of_Sender_addresses,IsReturn_Path_identical_to_Reply_To,num_ofTo_domains_identical_to_From_domain,num_ofCc_domains_identical_to_From_domain,num_ofBcc_domains_identical_to_From_domain,IsFrom_domain_same_as_Reply-To_domain,IsFrom_domain_same_as_Return-Path_domain,IsFrom_entity_bracketed,IsTo_entity_bracketed,len_first_boundary,boundary_start_with_=,exist_=_middle_boundary,exist_underscore_boundary,exist_dot_boundary,exist_other_special_char_boundary,boundary_hexadecimal,boundary_decimal,depht_DOM_tree,num_DOM_leaf,num_unique_DOM_leaf,mean_DOM_leaf_depths,standart_dev_DOM_depths,num_email_addresses_in_html_section,num_a_tags,num_URLs_in_html_section,ratio_unique_domains_to_domains_of_allURLs_in_anytags,length_style,exist_direction,exist_JS,label,email_id,index
1,0,0,0,1.0,0,-1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,,0
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,42,64,1,0,0,1,0,0,0,0,0,1,1,2,0,1,1.0,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<7137067.1075844201956.JavaMail.evans@thyme>,1
1,0,0,0,1.0,0,-1,0,6,0,0,0,0,1,1,43,64,1,0,0,0,1,0,0,1,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<BAY103-F34012A39D879A5A319A8E2A2840@phx.gbl>,2
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<27807476.1075842404395.JavaMail.evans@thyme>,3
1,1,0,0,0.5,0,1,1,7,0,4,0,0,1,1,39,64,1,0,0,0,0,0,0,0,1,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,60,0,0,0,0,0,1,0,35,34,9,26.264705882352942,13.526246432789609,0,17,29,0.10344827586206896,16875,0,0,0,<vAWkKPLUQtizg5elUBb5LA@geopod-ismtpd-38>,4
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,0,37,64,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<20050527223958.0B79EC081@krusty.si.UM>,5
0,1,0,0,0.0,0,1,1,7,0,3,1,0,1,0,35,64,1,0,0,0,1,0,0,1,0,1,1,4543,1,1212,0.9991749174917491,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,45,8,10.222222222222221,4.043589653259912,90242,2,23,0.043478260869565216,46,0,0,1,<E1csD1E-0008VN-T1@bon.bonavenue.com>,6
1,1,0,0,0.5,0,1,1,6,1,0,0,0,1,0,54,64,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,1,0,0,4,34,6,2.6470588235294117,0.6809315825170721,0,2,2,0.5,1636,0,0,1,<20060627154942.65999.qmail@web36402.mail.mud.yahoo.com>,7
0,1,0,0,0.0,0,1,1,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,24,8,7.125,2.0064998546390846,0,1,2,1.0,2069,0,0,1,,8
0,1,0,0,0.0,0,-1,0,6,0,4,0,0,0,0,33,64,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,2.6,0.8,0,2,3,0.6666666666666666,0,0,0,1,<200208060111.CAA16347@webnote.net>,9
