number_of_text_plain_sections,number_of_text_html_sections,number_of_image_sections,number_of_application_sections,ratio_text_plain_to_any_text_sections,length_of_text_in_text_html_section,index_charset_first_sec,num_unique_charset,num_standart_header,num_in_reply_to,num_received,exist_x_mailer,exist_user_agent,mime_version,case_var_MV,length_message_id,ascii_boundary_char,existence_of_domain,is_id_part_hex,is_id_part_decimal,existence_of_dots_in_id_part,existence_of_special_chars_in_id_part,is_domain_part_hex,is_domain_part_decimal,existence_of_dots_in_domain_part,existence_of_special_chars_in_domain_part,num_From_header_tags_in_thread,num_ofToheader_tags_in_thread,num_ofunique_To_addresses_in_thread,num_ofunique_Reply-To_addresses_in_thread,num_ofuniquedomains_in_all_email_addresses,ratio_unique_To_domains_to_unique_domains_in_all_addresses,num_Cc_addresses,num_Bcc_addresses,num_of_Sender_addresses,IsReturn_Path_identical_to_Reply_To,num_ofTo_domains_identical_to_From_domain,num_ofCc_domains_identical_to_From_domain,num_ofBcc_domains_identical_to_From_domain,IsFrom_domain_same_as_Reply-To_domain,IsFrom_domain_same_as_Return-Path_domain,IsFrom_entity_bracketed,IsTo_entity_bracketed,len_first_boundary,boundary_start_with_=,exist_=_middle_boundary,exist_underscore_boundary,exist_dot_boundary,exist_other_special_char_boundary,boundary_hexadecimal,boundary_decimal,depht_DOM_tree,num_DOM_leaf,num_unique_DOM_leaf,mean_DOM_leaf_depths,standart_dev_DOM_depths,num_email_addresses_in_html_section,num_a_tags,num_URLs_in_html_section,ratio_unique_domains_to_domains_of_allURLs_in_anytags,length_style,exist_direction,exist_JS,label,email_id,index
1,0,0,0,1.0,0,-1,0,4,0,0,0,0,0,0,43,64,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200703120220.l2C2Ksp4009825@godsend.mail.UM>,0
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1.0,9,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<29683960.1075839973440.JavaMail.evans@thyme>,1
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,47,64,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<200309201251.h8KCpJ322808@magnumforce.mr.itd.UM>,2
1,0,0,0,1.0,0,1,1,7,1,9,1,0,1,0,43,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<200209102131.RAA22275@blackcomb.panasas.com>,3
1,0,0,0,1.0,0,-1,0,6,0,3,0,0,0,0,45,64,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<200210080800.g9880TK06063@dogma.slashnull.org>,4
0,1,0,0,0.0,0,1,1,8,0,6,0,0,1,0,44,64,1,1,0,0,1,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,20,7,4.8,1.0295630140987,1,2,1,1.0,874,0,0,1,<57081124-171e-bd42-7017-6acbea1a41df@rgs.net>,5
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,1,43,64,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1.0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,<13105534.1075841736967.JavaMail.evans@thyme>,6
1,0,0,1,1.0,0,1,1,6,0,6,1,0,1,0,40,64,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,41,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,<20161214192107.3F6FB876DC95@mail.tdyv.ru>,7
1,1,0,0,0.5,0,1,1,7,0,0,1,0,1,0,36,64,1,1,1,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,29,0,1,1,0,0,0,0,2,62,1,2.0,0.0,5,0,0,0.0,0,0,0,1,<20060120145827261.6697@tiscali.co.uk>,8
1,1,0,0,0.5,0,1,1,7,0,6,0,0,1,0,37,64,1,1,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,27,1,1,0,0,0,1,1,8,20,7,5.8,1.469693845669907,2,1,1,1.0,2329,0,0,1,<20160207002602.ACE6A61C2A3@idb.com.vn>,9
