url,class,id,domain_digit_count,subdomain_digit_count,path_digit_count,domain_length,subdomain_length,path_length,isKnownTld,www,com,punnyCode,random_domain,subDomainCount,char_repeat,alexa1m_tld,alexa1m,-,.,/,@,?,&,=,_,domain_in_brand_list,raw_word_count,splitted_word_count,average_word_length,longest_word_length,shortest_word_length,std_word_length,compound_word_count,keyword_count,brand_name_count,negligible_word_count,target_brand_count,target_keyword_count,similar_keyword_count,similar_brand_count,average_compound_words,random_words
http://www.msn.co.za/,1,1,0,0,0,3,3,1,0,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
http://saxumpropertiesltd.com/MailService/kent/index.php?email=%0%&amp;.rand=13vqcr8bp0gud&amp;lc=1033&amp;id=64855&amp;mkt=en-us&amp;cbcxt=mai&amp;snsc=1,1,4,0,0,15,18,0,125,1,0,0,0,0,1,2,0,0,1,2,3,0,1,6,7,0,0,15,5,6.733333333333333,18,2,3.855155278613589,3,3,0,8,1,4,4,1,12.333333333333334,3
http://www.minhanhtransport.com/application/user-access/cache?email=jose@monkey.org,1,4,0,0,0,16,3,52,1,1,0,0,0,1,6,0,0,1,1,3,1,1,0,1,0,0,8,3,7.125,16,4,3.950870157319777,2,3,0,6,0,0,0,0,13.5,0
http://swissatm.com,1,5,0,0,0,8,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8.0,8,8,0.0,1,0,0,1,0,0,0,0,8.0,0
http://www.insuranceiq.com/legal.htm,1,6,0,0,0,11,3,10,1,1,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,3,1,6.333333333333333,11,3,3.39934634239519,1,1,0,0,1,1,1,1,11.0,0
http://www.Insurancemail.net>,1,6,0,0,0,4,17,24,0,2,0,0,0,2,6,0,0,0,3,2,0,0,0,0,0,0,4,4,8.5,13,4,4.5,2,4,0,2,0,0,0,0,13.0,0
http://www.Insurancemail.net,1,6,0,0,0,13,3,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,13.0,13,13,0.0,1,2,0,0,0,0,0,0,13.0,0
http://www.life-settlements-online.com,1,6,0,0,0,23,3,0,1,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,3,1,7.0,11,4,2.943920288775949,1,1,0,2,0,0,0,0,11.0,0
http://www.life-settlements-online.com>,1,6,0,0,0,4,27,34,0,2,2,0,0,2,8,0,0,4,3,2,0,0,0,0,0,0,8,2,6.25,11,4,2.8613807855648994,2,2,0,4,0,2,2,0,11.0,0
http://www.insuranceiq.com/legal.htm>,1,6,0,0,0,11,3,11,1,1,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,3,1,6.666666666666667,11,4,3.0912061651652345,1,1,0,0,1,1,1,1,11.0,0
www.Life-Settlements-Online.com,1,6,0,0,0,23,3,0,1,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,3,1,7.0,11,4,2.943920288775949,1,1,0,2,0,0,0,0,11.0,0
https://cloudflare-ipfs.com/ipfs/Qmeu8UGSQb2QRKhVxXKAk8WknRHTBmjV3xNrUoceFAMJFB#jose@monkey.org,1,11,0,0,4,15,0,68,1,0,0,0,0,1,1,0,0,1,1,2,1,0,0,0,0,0,5,2,14.2,47,4,16.54569430395715,1,0,0,2,1,0,0,1,10.0,3
https://webmail.georgian-airways.com/cpsess3362550250/3rdparty/roundcube/#NOP,1,11,0,0,11,16,7,41,1,0,0,0,0,1,3,0,0,1,0,4,0,0,0,0,0,0,7,5,6.857142857142857,9,4,1.4568627181693672,4,1,0,5,0,1,1,0,7.75,1
http://ct2.consumertoday.net/cgi-bin14/flo?y=hFW0CCzME0D40Ep0Al,1,12,0,1,7,13,3,35,1,0,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,4,2,7.5,13,1,5.545268253204709,1,0,0,2,2,1,1,2,13.0,1
http://unsub.ct.consumertoday.net/consumer_today/ct_site_unsub.html,1,12,0,0,0,13,8,34,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,3,0,7,3,6.285714285714286,13,4,3.010186786529354,2,1,0,7,0,0,0,0,10.5,0
http://ct2.consumertoday.net/cgi-bin14/flo?y=hFW0CCzME0D40Eq0Am,1,12,0,1,7,13,3,35,1,0,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,4,2,7.5,13,1,5.545268253204709,1,0,0,2,2,1,1,2,13.0,1
http://emaserver.trafficmagnet.net/trafficmagnet/www/optoutredirect?UC=Lead&UI=3653361,1,13,0,0,7,13,9,52,1,1,0,0,0,1,6,0,0,0,0,3,0,1,1,2,0,0,5,7,10.6,14,4,3.720215047547655,4,2,0,5,0,1,1,0,12.25,0
"http://iiu.taint.org,",1,13,0,0,0,4,9,16,0,0,0,0,0,2,2,0,0,0,3,2,0,0,0,0,0,0,4,0,4.5,5,4,0.5,0,0,0,4,0,0,0,0,0.0,0
http://www.TrafficMagnet.net,1,13,0,0,0,13,3,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,13.0,13,13,0.0,1,0,0,2,0,0,0,0,13.0,0
www.TrafficMagnet.net.,1,13,0,0,0,13,3,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,13.0,13,13,0.0,1,0,0,2,0,0,0,0,13.0,0
http://61.129.81.72/remove/remove.htm,1,15,9,0,9,12,0,32,0,0,0,0,0,1,0,0,0,0,7,4,0,0,0,0,0,0,3,0,5.0,6,3,1.4142135623730951,0,2,0,0,0,1,1,0,0.0,0
