url,class,id,domain_digit_count,subdomain_digit_count,path_digit_count,domain_length,subdomain_length,path_length,isKnownTld,www,com,punnyCode,random_domain,subDomainCount,char_repeat,alexa1m_tld,alexa1m,-,.,/,@,?,&,=,_,domain_in_brand_list,raw_word_count,splitted_word_count,average_word_length,longest_word_length,shortest_word_length,std_word_length,compound_word_count,keyword_count,brand_name_count,negligible_word_count,target_brand_count,target_keyword_count,similar_keyword_count,similar_brand_count,average_compound_words,random_words
https://worker-flat-lake-service.riltekirzi.workers.dev/px/QmUb7iKvDg3yBYqB1rM95ZCoKe8QpZLUbo4nPrPQGJcKju#jose@monkey.org,1,0,0,0,7,7,35,66,0,0,0,0,0,2,0,0,0,3,2,2,1,0,0,0,0,0,8,2,11.0,44,4,12.599603168354152,2,1,0,6,0,0,0,0,8.5,1
http://www.1cis.com/download/1cismail.asp,1,4,1,0,1,4,3,22,1,1,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,0,2,2,7.5,8,7,0.5,2,0,0,2,0,0,0,0,7.5,0
http://65.127.181.173/remove.htm,1,4,11,0,11,14,0,27,0,0,0,0,0,1,0,0,0,0,7,3,0,0,0,0,0,0,2,0,4.5,6,3,1.5,0,1,0,0,0,1,1,0,0.0,0
http://65.127.181.173/hgh/,1,4,11,0,11,14,0,21,0,0,0,0,0,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
http://www.1cis.com/articles/spam.asp,1,4,1,0,0,4,3,18,1,1,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,0,2,1,6.0,8,4,2.0,1,0,0,2,0,0,0,0,8.0,0
http://go21bt.let.to/,1,5,0,2,0,3,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,4,4,0.0,0,0,0,0,0,0,0,0,0.0,1
"http://go21bt.let.to/"">",1,5,0,2,0,3,6,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,4,4,0.0,0,0,0,0,0,0,0,0,0.0,1
http://news.bbc.co.uk/hi/english/world/africa/newsid_877000/877113.stm,1,7,0,0,12,3,4,49,0,0,0,0,1,1,7,0,1,0,1,6,0,0,0,0,1,1,6,1,5.166666666666667,7,3,1.3437096247164249,1,2,1,3,0,0,0,0,7.0,0
http://news.bbc.co.uk/hi/english/world/africa/newsid_909000/909972.stm,1,7,0,0,12,3,4,49,0,0,0,0,1,1,5,0,1,0,1,6,0,0,0,0,1,1,6,1,5.166666666666667,7,3,1.3437096247164249,1,2,1,3,0,0,0,0,7.0,0
http://t.dripemail3.com/c/eyJhbGciOiJIUzI1NiJ9.eyJhdWQiOiJkZXRvdXIiLCJpc3MiOiJtb25vbGl0aCIsInN1YiI6ImRldG91cl9saW5rIiwiaWF0IjoxNzI4MDgzMTI5LCJuYmYiOjE3MjgwODMxMjksImFjY291bnRfaWQiOiI5MzI3MjE1IiwiZGVsaXZlcnlfaWQiOiJ4YTd3MTZ5Y2RibHMweWN4djU3eCIsInRva2VuIjoieGE3dzE2eWNkYmxzMHljeHY1N3giLCJzZW5kX2F0IjoxNzI4MDgyODg1LCJlbWFpbF9pZCI6OTk1NzMyNSwiZW1haWxhYmxlX3R5cGUiOiJCcm9hZGNhc3QiLCJlbWFpbGFibGVfaWQiOjM5NTE1ODMsInVybCI6Imh0dHA6Ly9lbS55b3Rwby5jb20vbHMvY2xpY2s_dXBuPXUwMDEuLTJGZW1XZmM4N3QwTU9VRWpsMVNrQUV0d0prZTJtSWR5LTJCdE95b2ZHUm5uNDZ1cFlDa01iOTJBY0NyZ29HNkc3dWMwMEU0ak9kNkRsQmNIUjFaN3drQ1hJbEYtMkYwTlBiLTJCMFR3b0FrT2pzUk5PZWowM3AzZFRIQlItMkZmQS0yRk5PLTJCaC0yQjM4ZEhWcWlOcy0yQjNjb2V0eDNlUXdXMW5aUHpFVXdCNnJITFRQT2RqYkcwNFlCTjM3OWhhYklpQmJIb3dMdFBVWG9vbHZjdVNlYU5OQzA4dHNHbEpFLTJGYkh3LTNELTNEaGpOUF83cTItMkYxTFd6SE5zUHNycHhwZWdnMGlpN09sMWs5YklWSmk1ZWhOR2R1OWRIcVJWMktOeWRUUy0yQnBJUWhNcnkydGhBeWF1UVA4MHhMeDFkYjY1Wktyd2Q5VW4ySG1CTHlENno3YjAtMkZoTDdycms2SlBpbFpwWERLTzdsZVNGT1lEMUswRDRKbk5neGFEV2s4cUdNV2czMEVDTFlLUk1lQnl4bU80Nlh5UkQ1S2Y4VXRvTmdwbVBOZ21qcXE0QzJRUTlNcTRYc0NCSjB0MWlnZFlITGUxYXdCSUJpaTItMkJXMWItMkZyRkZpaERHak5vMTdjZm5WSVZMaFNFRTdpTkJQc0JIbklBcVN4ay0yQmRRQ3Bsb0tkcDQ1UEVLTzhHdnZpZTJ4Y05NNWFjRGlEb1JhS2VWYnZMYUlxaHJkSXItMkJtY2p4RjdXWTBacUNaejNpM0xqbUVKZjRtT2tJTUtKSVd2MFI5U0JSeDhpOXFZVEJiWW0wQ0Yxb0g0UzFmUXRqdlBSR0VTUG9LTC0yRmswbHFOaWZyY2w2Zkc2REktMkJGbkJkci0yRk9OY0c3d0ZBU2NZN3BmczF2OEJweFdWb0FQOEotMkZCMktBNkVmTjlvSWhmTmNjOWdGd3htdXJpRmtOYkd4djc5UlRNWUdzckFTWWVIOVB4a2d2eWw1TVBVR0R5Q1FkbGVjZHJlbnBENkFPZ1VKVzAyY05JTS0yRi0yQmFWNTFwTm5BV1lLd1BZTHktMkI3WFUtMkJzUGFTN2RUbGZSRU4tMkZHdDRtcHdYdVdvNVY0OTZsczVyUHByei0yQnpTUjlXeUtBOWEtMkZTNXc2Mlh5QXFCbW1idTRqdzdDUVhVLTNEJl9fcz1uNnZpdnB5cWYyOHZneHVneDZvcCJ9.Ee8r9MY-TXLx8jP_slt2Ip2e0Yb6d8yrbtGErAZaXY8,1,10,1,0,218,10,1,1728,1,0,0,0,0,1,36,0,0,1,2,2,0,0,0,0,2,0,7,2,215.8571428571429,1103,5,380.4427603169116,1,1,0,2,0,0,0,0,9.0,5
