id,phishing_probability,label
1,0.4173617,1
4,0.9919951,4
5,0.7548727,5
6,0.9284685,6
11,0.9916257,11
12,0.42669037,12
13,0.60063654,13
15,0.9635832,15
16,0.9969758,16
19,0.18023963,19
21,0.43267003,21
24,0.9850154,24
26,0.21373183,26
27,0.09626726,27
28,0.4981768,28
29,0.8202795,29
30,0.64503986,30
32,0.95326453,32
33,0.6073508,33
39,0.6360903,39
41,0.7049069,41
43,0.5140014,43
44,0.60063654,44
45,0.8794011,45
46,0.61338115,46
47,0.33566818,47
48,0.99262506,48
49,0.9984957,49
50,0.9784127,50
51,0.4173617,51
52,0.93508375,52
53,0.98594123,53
56,0.19073735,56
58,0.8954632,58
59,0.5155349,59
60,0.63925743,60
61,0.5014249,61
62,0.8772416,62
63,0.7363438,63
65,0.9921589,65
66,0.56548196,66
67,0.9173491,67
68,0.91081065,68
69,0.9831443,69
70,0.31855434,70
71,0.60935086,71
72,0.64503986,72
73,0.97150743,73
75,0.97325,75
79,0.23671308,79
80,0.9241749,80
83,0.9405707,83
84,0.3977579,84
85,0.98897505,85
87,0.9474643,87
91,0.9146151,91
92,0.09618337,92
93,0.44516352,93
94,0.36692017,94
95,0.797611,95
97,0.16189036,97
99,0.8998221,99
100,0.83173484,100
101,0.28343907,101
102,0.96007055,102
104,0.98008907,104
106,0.97097474,106
107,0.86278135,107
109,0.5754447,109
111,0.9672856,111
114,0.8796856,114
115,0.6748032,115
116,0.9640612,116
117,0.1899383,117
120,0.1513761,120
121,0.43895498,121
122,0.89148307,122
126,0.6515115,126
128,0.8801935,128
129,0.9210538,129
130,0.41703507,130
131,0.9656205,131
133,0.42063484,133
136,0.81242144,136
139,0.9268998,139
140,0.86461294,140
141,0.89148307,141
144,0.9798625,144
145,0.9950381,145
147,0.9586736,147
150,0.97904235,150
151,0.2534319,151
152,0.95662576,152
153,0.68486613,153
154,0.98319376,154
155,0.710793,155
156,0.11389459,156
157,0.7524008,157
158,0.87991416,158
160,0.9928853,160
161,0.44777185,161
162,0.975414,162
164,0.6239535,164
166,0.89148307,166
169,0.8653977,169
170,0.9799487,170
171,0.72788066,171
173,0.97352684,173
174,0.324641,174
175,0.9621585,175
177,0.88585365,177
178,0.9966523,178
181,0.8641612,181
182,0.99651885,182
183,0.89148307,183
186,0.07779783,186
188,0.91977346,188
189,0.68663406,189
190,0.79088956,190
191,0.3824581,191
194,0.4678503,194
195,0.14502713,195
197,0.9874352,197
198,0.9835771,198
199,0.7774849,199
200,0.5041275,200
203,0.9604995,203
204,0.9819163,204
205,0.9715086,205
207,0.6895099,207
208,0.6073508,208
209,0.301677,209
211,0.7774849,211
213,0.63925743,213
216,0.99566597,216
217,0.6798449,217
218,0.8845994,218
219,0.7180279,219
220,0.8731569,220
221,0.8910637,221
222,0.20966624,222
224,0.54615474,224
225,0.8807777,225
226,0.96506006,226
227,0.60935086,227
228,0.9915418,228
229,0.99783796,229
231,0.5155967,231
232,0.89148307,232
233,0.91833335,233
234,0.76478744,234
235,0.8767309,235
237,0.0754276,237
238,0.9486832,238
240,0.64048916,240
242,0.9951578,242
244,0.99547887,244
245,0.3360074,245
246,0.99737215,246
248,0.40536344,248
249,0.62864494,249
250,0.9981046,250
251,0.40256402,251
252,0.6829873,252
253,0.33806312,253
254,0.31259108,254
256,0.86615276,256
257,0.9733167,257
260,0.3022784,260
261,0.5140014,261
263,0.92871356,263
265,0.9145315,265
266,0.11773347,266
267,0.951953,267
268,0.26907513,268
269,0.85113245,269
270,0.19767816,270
271,0.21415903,271
274,0.8123642,274
275,0.9394344,275
277,0.90882367,277
278,0.78245384,278
279,0.99676174,279
280,0.4657563,280
281,0.8910637,281
284,0.95997995,284
286,0.5188175,286
287,0.4173617,287
289,0.9651027,289
291,0.8234096,291
294,0.8144806,294
295,0.7408826,295
299,0.9972945,299
301,0.13322327,301
303,0.59566444,303
304,0.6110609,304
306,0.65849787,306
308,0.9555391,308
309,0.63925743,309
310,0.7774849,310
311,0.99693143,311
312,0.5359739,312
313,0.9971782,313
314,0.95916843,314
315,0.23920295,315
316,0.6222538,316
317,0.7256727,317
320,0.73289317,320
321,0.9489616,321
322,0.809495,322
323,0.6436082,323
324,0.5179191,324
326,0.998042,326
328,0.8856348,328
330,0.61338115,330
331,0.70230734,331
333,0.62864494,333
334,0.041016553,334
335,0.83736134,335
337,0.99823004,337
341,0.9514637,341
342,0.84961146,342
344,0.9965358,344
346,0.7171048,346
347,0.5711028,347
348,0.928326,348
350,0.7808982,350
352,0.43833134,352
353,0.4188418,353
354,0.5014249,354
355,0.95763165,355
356,0.07792815,356
357,0.9620995,357
