id,phishing_probability,label
1,0.47744908279617226,1
4,0.9747388729761933,4
5,0.5178243373668481,5
6,0.8363128513113387,6
11,0.910370389391229,11
12,0.48019700562541895,12
13,0.5711262143677536,13
15,0.9172384091990322,15
16,0.9526688028148658,16
19,0.38586219226329455,19
21,0.5481022286596703,21
24,0.9145413990920956,24
26,0.24525446485902477,26
27,0.1711596118064785,27
28,0.465521276439893,28
29,0.5758208168459982,29
30,0.6740285425595267,30
32,0.9328561650516763,32
33,0.5206704299233378,33
39,0.5699932357132149,39
41,0.6295507214221512,41
43,0.4650300763019361,43
44,0.5575590146365016,44
45,0.7956305220493918,45
46,0.560640086332565,46
47,0.2366064650897743,47
48,0.9207191452075628,48
49,0.9835881618480289,49
50,0.8234781617981242,50
51,0.47744908279617226,51
52,0.9136324243528605,52
53,0.9298697091388388,53
56,0.24663831182305873,56
58,0.8834594605556244,58
59,0.4947117606323208,59
60,0.700478555564754,60
61,0.531978352407933,61
62,0.7498702324533139,62
63,0.7232543268346562,63
65,0.8218870243085871,65
66,0.7221016705224688,66
67,0.7145226456932555,67
68,0.7083128693913732,68
69,0.8624975620321206,69
70,0.5694677038210566,70
71,0.5672844457622435,71
72,0.6740285425595267,72
73,0.8979560006896351,73
75,0.8681694557434131,75
79,0.2552483280116426,79
80,0.8956495484018435,80
83,0.8960900690164136,83
84,0.5153748901973303,84
85,0.929773792226571,85
87,0.6291839397826433,87
91,0.8499056301085882,91
92,0.23465831179706,92
93,0.4568940940804763,93
94,0.4475247253347891,94
95,0.7888381076306302,95
97,0.2214995818110187,97
99,0.7822274593388631,99
100,0.5958003106043965,100
101,0.4154626505398469,101
102,0.8743494982496116,102
104,0.9254267378237898,104
106,0.9497899480512061,106
107,0.7961343163554403,107
109,0.36148038542928146,109
111,0.8070353377411685,111
114,0.8218748660103858,114
115,0.6699970799648369,115
116,0.8338196872817822,116
117,0.2167603042139577,117
120,0.32540474375332556,120
121,0.4166591799114203,121
122,0.8909207545812228,122
126,0.5191066873964951,126
128,0.7349095706436691,128
129,0.828988009850559,129
130,0.47329436435736616,130
131,0.9375059019097405,131
133,0.4227273492607872,133
136,0.7930006805393542,136
139,0.8647198356299728,139
140,0.472157115482596,140
141,0.8909207545812228,141
144,0.956645385026695,144
145,0.9699342183965775,145
147,0.8856937518952042,147
150,0.7933135752034148,150
151,0.31080724921371183,151
152,0.893045035436143,152
153,0.6327256646365077,153
154,0.8687642703013327,154
155,0.6544315872807062,155
156,0.19995553578897074,156
157,0.6311680589728855,157
158,0.6803947300108893,158
160,0.9631310334430467,160
161,0.6436721824148767,161
162,0.7978595377122683,162
164,0.5396187899974482,164
166,0.8884207545812228,166
169,0.6406026445671218,169
170,0.9662222688477786,170
171,0.6074159063285658,171
173,0.8632984855570685,173
174,0.42796057009704525,174
175,0.957299672892046,175
177,0.6466094224564911,177
178,0.9792255039519911,178
181,0.8769641729615336,181
182,0.8907330101257108,182
183,0.8909207545812228,183
186,0.1999616720389225,186
188,0.8957735974893134,188
189,0.29523143020656717,189
190,0.5569413329811832,190
191,0.3265000616054535,191
194,0.5137292136892998,194
195,0.22949728874498418,195
