id,phishing_probability,label
0,0.7303863,0
4,0.9650401,4
5,0.928953,5
7,0.8546088,7
10,0.9908731,10
11,0.9924406,11
12,0.18470532,12
13,0.63925743,13
14,0.09472492,14
16,0.9898998,16
20,0.6432586,20
24,0.8304082,24
26,0.998811,26
27,0.9940177,27
28,0.99649787,28
29,0.6432486,29
30,0.8990062,30
31,0.8394212,31
35,0.9761311,35
37,0.6971006,37
38,0.7801586,38
39,0.8984603,39
43,0.9832177,43
44,0.86483204,44
45,0.798144,45
46,0.99422437,46
49,0.54133713,49
50,0.9345183,50
52,0.9971782,52
57,0.96899253,57
58,0.87766105,58
59,0.9358678,59
60,0.22890042,60
61,0.6371027,61
63,0.99826694,63
65,0.7860206,65
67,0.70588315,67
68,0.9649402,68
72,0.5673554,72
73,0.924286,73
74,0.19324154,74
75,0.37077215,75
78,0.4667373,78
80,0.56695545,80
81,0.5981408,81
82,0.60935086,82
83,0.5722841,83
84,0.88284373,84
85,0.575136,85
87,0.89707273,87
89,0.99737215,89
90,0.9731467,90
91,0.8205572,91
92,0.84717363,92
94,0.9634279,94
95,0.62057763,95
97,0.88645875,97
99,0.9640649,99
100,0.13620943,100
101,0.38676816,101
103,0.5691458,103
104,0.93799776,104
105,0.65923136,105
106,0.9904738,106
107,0.27174568,107
108,0.1324101,108
109,0.31259108,109
110,0.8555165,110
111,0.60935086,111
115,0.9840261,115
116,0.96642613,116
117,0.43259594,117
119,0.62298065,119
121,0.9133643,121
122,0.9548792,122
123,0.45438465,123
124,0.9839806,124
126,0.9978955,126
127,0.45356268,127
128,0.19576435,128
129,0.89148307,129
131,0.8416245,131
132,0.9041699,132
133,0.99135125,133
134,0.6658715,134
136,0.6073508,136
137,0.9933115,137
139,0.7041844,139
140,0.89148307,140
143,0.67143244,143
144,0.5280871,144
145,0.08296534,145
150,0.6997234,150
151,0.7920265,151
152,0.99710876,152
153,0.7774849,153
154,0.71102816,154
158,0.89864486,158
159,0.9927772,159
160,0.9284685,160
161,0.32001132,161
162,0.9405707,162
164,0.95043623,164
165,0.70815134,165
166,0.45271754,166
167,0.8188526,167
168,0.10862389,168
169,0.7572153,169
170,0.99838686,170
174,0.87485343,174
175,0.83886105,175
177,0.99459743,177
178,0.9730638,178
179,0.64503986,179
181,0.8808959,181
184,0.91825455,184
186,0.72966474,186
189,0.5470541,189
190,0.5014249,190
191,0.98384535,191
193,0.9405707,193
194,0.95966715,194
195,0.24437141,195
196,0.9833625,196
198,0.5746512,198
200,0.99607545,200
201,0.5247853,201
202,0.7888999,202
205,0.96310157,205
206,0.4727405,206
209,0.70448107,209
210,0.5286702,210
211,0.54663163,211
212,0.4257008,212
213,0.8954632,213
216,0.97297996,216
217,0.9920908,217
219,0.94703716,219
220,0.98755276,220
221,0.5702022,221
223,0.6033751,223
225,0.18470532,225
226,0.9878088,226
227,0.9241749,227
228,0.93790835,228
229,0.97393256,229
232,0.6371198,232
233,0.43168917,233
238,0.30747208,238
240,0.7774849,240
241,0.98381096,241
242,0.35865209,242
243,0.38085365,243
244,0.99324834,244
245,0.7363438,245
247,0.9651499,247
248,0.99598134,248
250,0.99566287,250
252,0.7548727,252
254,0.9448121,254
256,0.43735212,256
261,0.9771089,261
263,0.97757244,263
265,0.8550368,265
266,0.98976713,266
267,0.3039356,267
269,0.6028886,269
271,0.9968707,271
274,0.74870867,274
275,0.9157854,275
276,0.566855,276
277,0.9284685,277
278,0.9429682,278
279,0.985899,279
280,0.993594,280
282,0.5908112,282
283,0.6013305,283
284,0.56679296,284
285,0.91977346,285
286,0.68995905,286
288,0.5014249,288
289,0.9369506,289
291,0.6042338,291
292,0.8954632,292
293,0.50913924,293
294,0.9907831,294
295,0.97962826,295
296,0.7774849,296
298,0.7838988,298
300,0.8782828,300
305,0.8858433,305
306,0.96604884,306
307,0.89148307,307
308,0.934307,308
309,0.8901686,309
312,0.7774849,312
314,0.6465683,314
317,0.9914145,317
320,0.68942195,320
323,0.8879721,323
330,0.9939944,330
333,0.88645875,333
334,0.9369506,334
335,0.96757376,335
336,0.94838804,336
342,0.7569038,342
344,0.98295826,344
345,0.93117446,345
347,0.99444526,347
348,0.2306465,348
350,0.10482037,350
352,0.4727405,352
353,0.43083662,353
355,0.7989642,355
356,0.97082216,356
359,0.19576435,359
360,0.6856251,360
361,0.68764323,361
362,0.98926115,362
363,0.4353988,363
364,0.700054,364
365,0.99835926,365
366,0.9959615,366
367,0.46215263,367
368,0.7920265,368
369,0.907641,369
370,0.8333755,370
371,0.8954632,371
373,0.85348344,373
374,0.2917735,374
376,0.2306465,376
377,0.12245322,377
378,0.99823004,378
379,0.54224896,379
380,0.9709872,380
382,0.6217401,382
384,0.91363776,384
385,0.4678503,385
386,0.7479819,386
387,0.6013305,387
388,0.9900142,388
389,0.9850154,389
391,0.5350638,391
392,0.89148307,392
394,0.7524008,394
395,0.06886254,395
396,0.977416,396
397,0.62864494,397
398,0.93499327,398
400,0.98101735,400
401,0.9210632,401
402,0.4188418,402
403,0.983851,403
404,0.27374223,404
405,0.5447819,405
406,0.7838988,406
412,0.63925743,412
413,0.98051673,413
414,0.9760147,414
416,0.89148307,416
417,0.42892602,417
418,0.44397104,418
420,0.14507072,420
422,0.89954376,422
423,0.9671017,423
424,0.9554038,424
427,0.86752456,427
428,0.5014249,428
431,0.6638302,431
432,0.9805971,432
433,0.998811,433
435,0.5009369,435
436,0.9929235,436
438,0.61338115,438
439,0.69486177,439
442,0.5447819,442
445,0.9683418,445
446,0.8967791,446
448,0.2875216,448
451,0.9733551,451
454,0.99716526,454
457,0.97241306,457
460,0.7245958,460
462,0.1443879,462
463,0.5765718,463
464,0.5434696,464
468,0.6500521,468
469,0.9539169,469
470,0.9455576,470
471,0.18470532,471
472,0.99676174,472
473,0.17103538,473
474,0.99532384,474
476,0.9407375,476
478,0.46267283,478
480,0.9716162,480
482,0.8394212,482
484,0.18470532,484
485,0.4574076,485
487,0.8125119,487
488,0.9934829,488
489,0.936626,489
491,0.6054356,491
493,0.06649567,493
494,0.1574321,494
495,0.77402735,495
498,0.84717363,498
500,0.9730223,500
501,0.89148307,501
502,0.6122252,502
503,0.9291923,503
504,0.7562891,504
505,0.9478593,505
506,0.9939772,506
507,0.21423142,507
511,0.3241705,511
513,0.6222538,513
514,0.9965862,514
515,0.24437141,515
519,0.91498,519
522,0.9429086,522
524,0.9237212,524
527,0.659726,527
528,0.9713329,528
529,0.970019,529
530,0.8954632,530
531,0.9916529,531
534,0.97685367,534
535,0.59166604,535
536,0.7838988,536
538,0.9429682,538
539,0.92604744,539
540,0.98367995,540
541,0.74117565,541
543,0.9468186,543
545,0.9586736,545
547,0.8623711,547
548,0.45165247,548
549,0.9405707,549
550,0.8702418,550
551,0.15912805,551
553,0.99759895,553
554,0.30511895,554
555,0.9899386,555
557,0.74526167,557
558,0.8378521,558
559,0.98767394,559
561,0.7774849,561
562,0.57157785,562
566,0.95705104,566
568,0.62864494,568
569,0.8954632,569
570,0.3343191,570
573,0.13592997,573
574,0.92871356,574
575,0.9968759,575
577,0.23920295,577
578,0.1746911,578
580,0.5014249,580
581,0.5359739,581
582,0.47067478,582
583,0.90430915,583
584,0.952772,584
585,0.43083662,585
587,0.039685205,587
588,0.33745155,588
589,0.89467853,589
590,0.98862106,590
591,0.905979,591
592,0.1513761,592
593,0.9964198,593
595,0.66095936,595
597,0.67166305,597
598,0.7611076,598
600,0.7009067,600
601,0.30931914,601
602,0.96881884,602
603,0.99737215,603
605,0.6162618,605
606,0.99676174,606
607,0.6988382,607
608,0.5056612,608
609,0.81258017,609
610,0.36508113,610
612,0.886455,612
615,0.7419498,615
616,0.89864486,616
618,0.99474597,618
620,0.9540395,620
625,0.99567944,625
627,0.50296646,627
628,0.9953323,628
629,0.5014249,629
630,0.99607545,630
631,0.4808416,631
632,0.62864494,632
634,0.92155385,634
636,0.18470532,636
637,0.7534642,637
639,0.9915418,639
641,0.41414055,641
642,0.4657563,642
643,0.28891712,643
646,0.36319825,646
647,0.97222203,647
648,0.664629,648
649,0.67166305,649
650,0.3846127,650
653,0.8698421,653
655,0.52678865,655
656,0.5447819,656
658,0.8123642,658
660,0.9237212,660
661,0.4502591,661
662,0.99168855,662
663,0.9683821,663
665,0.934349,665
666,0.9961165,666
667,0.66743493,667
668,0.9953898,668
669,0.95507073,669
670,0.47714114,670
671,0.44516352,671
673,0.40256402,673
674,0.9533684,674
675,0.60764974,675
676,0.9910341,676
677,0.4188418,677
678,0.83558446,678
679,0.6733413,679
680,0.9904613,680
681,0.9924406,681
682,0.74870867,682
683,0.5338702,683
686,0.7245958,686
687,0.33739552,687
688,0.98312217,688
690,0.86643696,690
691,0.69486177,691
692,0.47980878,692
693,0.9910659,693
694,0.5204615,694
695,0.89148307,695
696,0.994643,696
698,0.9081314,698
700,0.40299663,700
701,0.99480766,701
702,0.9970337,702
703,0.6733413,703
705,0.9815688,705
706,0.9961408,706
708,0.99571604,708
710,0.99315155,710
712,0.9866829,712
717,0.9284685,717
718,0.99414814,718
719,0.3223341,719
720,0.9740632,720
723,0.99737215,723
724,0.99769706,724
725,0.9697186,725
727,0.9161774,727
728,0.9949904,728
729,0.9963391,729
731,0.9358208,731
732,0.776008,732
733,0.4274429,733
734,0.9662063,734
735,0.7363438,735
736,0.34056824,736
737,0.9312949,737
740,0.33739552,740
741,0.6217401,741
742,0.7245958,742
744,0.51825076,744
745,0.9906873,745
746,0.7479819,746
747,0.11521504,747
749,0.9713452,749
751,0.90099657,751
752,0.9884001,752
754,0.9804067,754
755,0.6793884,755
756,0.967823,756
761,0.62864494,761
762,0.85113245,762
764,0.4502591,764
766,0.6824545,766
768,0.9929974,768
769,0.22001551,769
771,0.915828,771
772,0.98440045,772
773,0.25692558,773
774,0.6217401,774
775,0.5928152,775
776,0.94119114,776
777,0.95997995,777
778,0.40545824,778
782,0.5970934,782
784,0.8313405,784
786,0.6515115,786
788,0.99242413,788
789,0.8197043,789
790,0.85113245,790
793,0.117407225,793
796,0.6002523,796
797,0.997253,797
798,0.60935086,798
799,0.19576435,799
802,0.35511994,802
804,0.7704642,804
806,0.48495454,806
807,0.6077918,807
810,0.98824894,810
813,0.9460206,813
815,0.5275939,815
816,0.6465683,816
817,0.99387395,817
818,0.87182766,818
819,0.99002403,819
820,0.5674712,820
821,0.67763406,821
823,0.8911998,823
825,0.65012765,825
827,0.9995448,827
828,0.97669786,828
829,0.7449076,829
830,0.19704717,830
832,0.4188418,832
833,0.9967372,833
835,0.90477884,835
836,0.69549423,836
837,0.6515115,837
838,0.9884001,838
842,0.73149914,842
843,0.6104605,843
847,0.55954105,847
848,0.9345866,848
849,0.81084883,849
851,0.2595314,851
852,0.6073508,852
853,0.9949367,853
854,0.82305694,854
855,0.9290417,855
856,0.9862742,856
857,0.9284685,857
860,0.566675,860
861,0.92155385,861
862,0.99674016,862
864,0.96680665,864
865,0.9533684,865
866,0.27019042,866
869,0.48070636,869
870,0.98962957,870
872,0.23671308,872
873,0.47714114,873
874,0.9963391,874
876,0.9405707,876
877,0.6642241,877
878,0.58875066,878
879,0.3795578,879
